#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
lava                                              (minecraft:lava)                                                                 = Lava
iron                                              (tconstruct:molten_iron)                                                         = Molten Iron
gold                                              (tconstruct:molten_gold)                                                         = Molten Gold
pigiron                                           (tconstruct:molten_pigiron)                                                      = Molten Pigiron
cobalt                                            (tconstruct:molten_cobalt)                                                       = Molten Cobalt
ardite                                            (tconstruct:molten_ardite)                                                       = Molten Ardite
manyullyn                                         (tconstruct:molten_manyullyn)                                                    = Molten Manyullyn
knightslime                                       (tconstruct:molten_knightslime)                                                  = Molten Knightslime
alubrass                                          (tconstruct:molten_alubrass)                                                     = Molten Aluminum Brass
brass                                             (tconstruct:molten_brass)                                                        = Molten Brass
copper                                            (tconstruct:molten_copper)                                                       = Molten Copper
tin                                               (tconstruct:molten_tin)                                                          = Molten Tin
bronze                                            (tconstruct:molten_bronze)                                                       = Molten Bronze
zinc                                              (tconstruct:molten_zinc)                                                         = Molten Zinc
lead                                              (tconstruct:molten_lead)                                                         = Molten Lead
nickel                                            (tconstruct:molten_nickel)                                                       = Molten Nickel
silver                                            (tconstruct:molten_silver)                                                       = Molten Silver
electrum                                          (tconstruct:molten_electrum)                                                     = Molten Electrum
steel                                             (tconstruct:molten_steel)                                                        = Molten Steel
aluminum                                          (tconstruct:molten_aluminum)                                                     = Molten Aluminum
creosote                                          (immersiveengineering:fluidcreosote)                                             = Creosote Oil
plantoil                                          (immersiveengineering:fluidplantoil)                                             = Plant Oil
ethanol                                           (immersiveengineering:fluidethanol)                                              = Ethanol
biodiesel                                         (immersiveengineering:fluidbiodiesel)                                            = Biodiesel
concrete                                          (immersiveengineering:fluidconcrete)                                             = Liquid Concrete
potion                                            ([no block])                                                                     = Potion
ink                                               (immersiveintelligence:ink)                                                      = Ink
ink_cyan                                          (immersiveintelligence:ink_cyan)                                                 = Cyan Ink
ink_magenta                                       (immersiveintelligence:ink_magenta)                                              = Magenta Ink
ink_yellow                                        (immersiveintelligence:ink_yellow)                                               = Yellow Ink
etching_acid                                      (immersiveintelligence:etching_acid)                                             = Etching Acid
sulfuric_acid                                     (immersiveintelligence:sulfuric_acid)                                            = Sulfuric Acid
hydrofluoric_acid                                 (immersiveintelligence:hydrofluoric_acid)                                        = Hydrofluoric Acid
nitric_acid                                       (immersiveintelligence:nitric_acid)                                              = Nitric Acid
brine                                             (immersiveintelligence:brine)                                                    = Brine
hydrogen                                          (immersiveintelligence:hydrogen)                                                 = Hydrogen Gas
oxygen                                            (immersiveintelligence:oxygen)                                                   = Oxygen Gas
chlorine                                          (immersiveintelligence:chlorine)                                                 = Chlorine
ammonia                                           (immersiveintelligence:ammonia)                                                  = Ammonia
methanol                                          (immersiveintelligence:methanol)                                                 = Methanol
liquidhydrogen                                    ([no block])                                                                     = Liquid Hydrogen
liquidoxygen                                      ([no block])                                                                     = Liquid Oxygen
liquidchlorine                                    ([no block])                                                                     = Liquid Chlorine
liquidsulfurdioxide                               ([no block])                                                                     = Liquid Sulfur Dioxide
liquidsulfurtrioxide                              ([no block])                                                                     = Liquid Sulfur Trioxide
sulfuricacid                                      ([no block])                                                                     = Sulfuric Acid
liquidhydrogenchloride                            ([no block])                                                                     = Liquid Hydrogen Chloride
liquidethene                                      ([no block])                                                                     = Liquid Ethylene
liquidsodium                                      ([no block])                                                                     = Liquid Sodium
liquiddeuterium                                   ([no block])                                                                     = Liquid Deuterium
liquidtritium                                     ([no block])                                                                     = Liquid Tritium
liquidfusionfuel                                  ([no block])                                                                     = Liquid D-T Fuel
liquidlithium                                     ([no block])                                                                     = Liquid Lithium
heavywater                                        ([no block])                                                                     = Heavy Water
steam                                             (immersivetech:fluidsteam)                                                       = Steam
liquid_phazon                                     (mc4:liquid_phazon)                                                              = Liquid Phazon
liquid_phazon_infinite                            (mc4:liquid_phazon_infinite)                                                     = Liquid Phazon (Infinite Source Blocks, Creative Only)
liquid_red_phazon                                 (mc4:liquid_red_phazon)                                                          = Liquid Red Phazon
liquid_red_phazon_infinite                        (mc4:liquid_red_phazon_infinite)                                                 = Liquid Red Phazon (Infinite Source Blocks, Creative Only)
dark_water                                        (mc4:dark_water)                                                                 = Dark Water
glycerol                                          ([no block])                                                                     = Glycerol
nitroglycerin                                     ([no block])                                                                     = Nitroglycerin
redstone                                          (mc4:liquid_redstone)                                                            = Destabilized Redstone
tungsten                                          (mc4:liquid_tungsten)                                                            = Molten Tungsten
titanium                                          (mc4:liquid_titanium)                                                            = Molten Titanium
radion                                            (mc4:liquid_radion)                                                              = Molten Radion
bendezium                                         (mc4:liquid_bendezium)                                                           = Molten Bendezium
denzium                                           (mc4:liquid_denzium)                                                             = Molten Denzium
maldium                                           (mc4:liquid_maldium)                                                             = Molten Maldium
talloric                                          (mc4:liquid_talloric)                                                            = Molten Talloric Alloy
cordite                                           (mc4:liquid_cordite)                                                             = Molten Cordite
chozodian                                         (mc4:liquid_chozodian)                                                           = Molten Chozodian Compound
chozodian_red                                     (mc4:liquid_red_chozodian)                                                       = Molten Red Chozodian Compound
chozodian_orange                                  (mc4:liquid_orange_chozodian)                                                    = Molten Orange Chozodian Compound
chozodian_purple                                  (mc4:liquid_purple_chozodian)                                                    = Molten Purple Chozodian Compound
crude_oil                                         ([no block])                                                                     = Crude Oil
desalted_crude_oil                                ([no block])                                                                     = Desalted Crude Oil
tar                                               ([no block])                                                                     = Tar
gasoline                                          (immersivepetroleum:fluid_gasoline)                                              = Gasoline
kerosene                                          ([no block])                                                                     = Kerosene
coal                                              ([no block])                                                                     = Liquifacted Coal
refined_oil                                       ([no block])                                                                     = Naphtha
refined_fuel                                      ([no block])                                                                     = Refined Fuel
sap                                               ([no block])                                                                     = Sap
syrup                                             ([no block])                                                                     = Syrup
resin                                             ([no block])                                                                     = Resin
tree_oil                                          ([no block])                                                                     = Tree Oil
seed_oil                                          ([no block])                                                                     = Seed Oil
biocrude                                          ([no block])                                                                     = Biocrude
refined_biofuel                                   ([no block])                                                                     = Grassoline
mushroom_stew                                     ([no block])                                                                     = Mushroom Stew
experience                                        ([no block])                                                                     = Essence of Knowledge
potion_splash                                     ([no block])                                                                     = Splash Potion
potion_lingering                                  ([no block])                                                                     = Lingering Potion
glowstone                                         (thermalfoundation:fluid_glowstone)                                              = Energized Glowstone
ender                                             (thermalfoundation:fluid_ender)                                                  = Resonant Ender
pyrotheum                                         (thermalfoundation:fluid_pyrotheum)                                              = Blazing Pyrotheum
cryotheum                                         (thermalfoundation:fluid_cryotheum)                                              = Gelid Cryotheum
aerotheum                                         (thermalfoundation:fluid_aerotheum)                                              = Zephyrean Aerotheum
petrotheum                                        (thermalfoundation:fluid_petrotheum)                                             = Tectonic Petrotheum
mana                                              (thermalfoundation:fluid_mana)                                                   = Primal Mana
platinum                                          ([no block])                                                                     = Molten Platinum
iridium                                           ([no block])                                                                     = Molten Iridium
invar                                             ([no block])                                                                     = Molten Invar
constantan                                        (immersiveengineering:molten_constantan)                                         = Molten Constantan
signalum                                          ([no block])                                                                     = Molten Signalum
lumium                                            ([no block])                                                                     = Molten Lumium
enderium                                          ([no block])                                                                     = Molten Enderium
electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = Molten Electrical Steel
energetic_alloy                                   (enderio:block_fluid_energetic_alloy)                                            = Molten Energetic Alloy
vibrant_alloy                                     (enderio:block_fluid_vibrant_alloy)                                              = Molten Vibrant Alloy
redstone_alloy                                    (enderio:block_fluid_redstone_alloy)                                             = Molten Redstone Alloy
conductive_iron                                   (enderio:block_fluid_conductive_iron)                                            = Molten Conductive Iron
pulsating_iron                                    (enderio:block_fluid_pulsating_iron)                                             = Molten Pulsating Iron
dark_steel                                        (enderio:block_fluid_dark_steel)                                                 = Molten Dark Steel
soularium                                         (enderio:block_fluid_soularium)                                                  = Molten Soularium
end_steel                                         (enderio:block_fluid_end_steel)                                                  = Molten End Steel
construction_alloy                                (enderio:block_fluid_construction_alloy)                                         = Molten Iron Alloy
fierymetal                                        (twilightforest:molten_fierymetal)                                               = Molten Fiery
knightmetal                                       (twilightforest:molten_knightmetal)                                              = Molten Knightmetal
fiery_essence                                     (twilightforest:fiery_essence)                                                   = Fiery Essence
blackgoo                                          (avp:blackgoo)                                                                   = fluid.blackGoo
mist                                              (avp:mist)                                                                       = fluid.mist
sand                                              (biomesoplenty:sand)                                                             = Quicksand
honey                                             (biomesoplenty:honey)                                                            = Honey
blood                                             (biomesoplenty:blood)                                                            = Blood
poison                                            (biomesoplenty:poison)                                                           = Poison
hot_spring_water                                  (biomesoplenty:hot_spring_water)                                                 = Hot Spring Water
oil                                               (buildcraftenergy:fluid_block_oil_heat_0)                                        = Oil (§bCool§r)
oil_heat_1                                        (buildcraftenergy:fluid_block_oil_heat_1)                                        = Oil (§6Hot§r)
oil_heat_2                                        (buildcraftenergy:fluid_block_oil_heat_2)                                        = Oil (§cSearing§r)
oil_residue                                       (buildcraftenergy:fluid_block_oil_residue_heat_0)                                = Residue (§bCool§r)
oil_residue_heat_1                                (buildcraftenergy:fluid_block_oil_residue_heat_1)                                = Residue (§6Hot§r)
oil_residue_heat_2                                (buildcraftenergy:fluid_block_oil_residue_heat_2)                                = Residue (§cSearing§r)
oil_heavy                                         (buildcraftenergy:fluid_block_oil_heavy_heat_0)                                  = Heavy Oil (§bCool§r)
oil_heavy_heat_1                                  (buildcraftenergy:fluid_block_oil_heavy_heat_1)                                  = Heavy Oil (§6Hot§r)
oil_heavy_heat_2                                  (buildcraftenergy:fluid_block_oil_heavy_heat_2)                                  = Heavy Oil (§cSearing§r)
oil_dense                                         (buildcraftenergy:fluid_block_oil_dense_heat_0)                                  = Dense Oil (§bCool§r)
oil_dense_heat_1                                  (buildcraftenergy:fluid_block_oil_dense_heat_1)                                  = Dense Oil (§6Hot§r)
oil_dense_heat_2                                  (buildcraftenergy:fluid_block_oil_dense_heat_2)                                  = Dense Oil (§cSearing§r)
oil_distilled                                     (buildcraftenergy:fluid_block_oil_distilled_heat_0)                              = Distilled Oil (§bCool§r)
oil_distilled_heat_1                              (buildcraftenergy:fluid_block_oil_distilled_heat_1)                              = Distilled Oil (§6Hot§r)
oil_distilled_heat_2                              (buildcraftenergy:fluid_block_oil_distilled_heat_2)                              = Distilled Oil (§cSearing§r)
fuel_dense                                        (buildcraftenergy:fluid_block_fuel_dense_heat_0)                                 = Dense Fuel (§bCool§r)
fuel_dense_heat_1                                 (buildcraftenergy:fluid_block_fuel_dense_heat_1)                                 = Dense Fuel (§6Hot§r)
fuel_dense_heat_2                                 (buildcraftenergy:fluid_block_fuel_dense_heat_2)                                 = Dense Fuel (§cSearing§r)
fuel_mixed_heavy                                  (buildcraftenergy:fluid_block_fuel_mixed_heavy_heat_0)                           = Mixed Heavy Fuels (§bCool§r)
fuel_mixed_heavy_heat_1                           (buildcraftenergy:fluid_block_fuel_mixed_heavy_heat_1)                           = Mixed Heavy Fuels (§6Hot§r)
fuel_mixed_heavy_heat_2                           (buildcraftenergy:fluid_block_fuel_mixed_heavy_heat_2)                           = Mixed Heavy Fuels (§cSearing§r)
fuel_light                                        (buildcraftenergy:fluid_block_fuel_light_heat_0)                                 = Light Fuel (§bCool§r)
fuel_light_heat_1                                 (buildcraftenergy:fluid_block_fuel_light_heat_1)                                 = Light Fuel (§6Hot§r)
fuel_light_heat_2                                 (buildcraftenergy:fluid_block_fuel_light_heat_2)                                 = Light Fuel (§cSearing§r)
fuel_mixed_light                                  (buildcraftenergy:fluid_block_fuel_mixed_light_heat_0)                           = Mixed Light Fuels (§bCool§r)
fuel_mixed_light_heat_1                           (buildcraftenergy:fluid_block_fuel_mixed_light_heat_1)                           = Mixed Light Fuels (§6Hot§r)
fuel_mixed_light_heat_2                           (buildcraftenergy:fluid_block_fuel_mixed_light_heat_2)                           = Mixed Light Fuels (§cSearing§r)
fuel_gaseous                                      (buildcraftenergy:fluid_block_fuel_gaseous_heat_0)                               = Gaseous Fuel (§bCool§r)
fuel_gaseous_heat_1                               (buildcraftenergy:fluid_block_fuel_gaseous_heat_1)                               = Gaseous Fuel (§6Hot§r)
fuel_gaseous_heat_2                               (buildcraftenergy:fluid_block_fuel_gaseous_heat_2)                               = Gaseous Fuel (§cSearing§r)
ic2uu_matter                                      (ic2:uu_matter)                                                                  = UU-Matter
ic2construction_foam                              (ic2:construction_foam)                                                          = Construction Foam
ic2coolant                                        (ic2:coolant)                                                                    = IC2 Coolant
ic2creosote                                       (ic2:creosote)                                                                   = Creosote
ic2hot_coolant                                    (ic2:hot_coolant)                                                                = IC2 Hot Coolant
ic2pahoehoe_lava                                  (ic2:pahoehoe_lava)                                                              = Pahoehoe Lava
ic2biomass                                        (ic2:biomass)                                                                    = Biomass
ic2biogas                                         (ic2:biogas)                                                                     = Biogas
ic2distilled_water                                (ic2:distilled_water)                                                            = Distilled Water
ic2superheated_steam                              (ic2:superheated_steam)                                                          = Superheated Steam
ic2steam                                          (ic2:steam)                                                                      = Steam
ic2hot_water                                      (ic2:hot_water)                                                                  = Hotspring Water
