//name, selling price, buying price, reserved quantity, target quantity, foreign merchant price, auto-generated, needed equipment(deprecated), minimum reputation,  desc code for the help screen
dirtwall,1,0,0,0,0,false,,0,construction
pathdirt,1,0,0,0,0,false,,0,construction
pathgravel,2,0,0,0,0,false,,0,construction
pathslabs,4,0,0,0,0,false,,0,construction
wood,2,1,128,1024,0,false,,0,construction
wood_pine,2,1,64,256,0,false,,0,construction
wood_birch,2,1,128,1024,0,false,,0,construction
wood_jungle,2,1,0,64,0,false,,0,construction
wood_acacia,2,1,0,64,0,false,,0,construction
wood_darkoak,2,1,128,1024,0,false,,0,construction
wood_any,2,1,128,2048,0,false,,0,construction
cobblestone,2,1,128,1024,0,false,,0,construction
stone,3,2,128,1024,0,false,,0,construction
glass,5,3,64,512,0,false,,0,construction
sand,4,2,64,512,0,false,,0,construction
bed_straw,16,0,4,16,0,false,,0,construction

iron,25,20,0,10,0,false,,0,crafting
gold,0,64,0,0,64,false,,0,construction
cauldron,200,180,2,4,0,false,,0,construction

wool_white,10,8,0,64,12,false,,0,construction
wool_gray,12,0,0,64,32,false,,0,construction
wool_lightgray,12,0,0,64,16,false,,0,construction
wool_black,12,0,0,64,24,false,,0,construction
wool_brown,16,0,0,64,18,false,,0,construction
wool_pink,16,0,0,0,18,false,,0,foreigntrade
wool_orange,0,0,0,0,14,false,,0,foreigntrade
wool_magenta,0,0,0,0,40,false,,0,foreigntrade
wool_lightblue,0,0,0,0,70,false,,0,foreigntrade
wool_yellow,0,0,0,0,14,false,,0,foreigntrade
wool_green,0,0,0,0,32,false,,0,foreigntrade
wool_cyan,0,0,0,0,74,false,,0,foreigntrade
wool_purple,0,0,0,0,58,false,,0,foreigntrade
wool_blue,0,64,0,0,74,false,,0,foreigntrade
wool_red,0,14,0,0,14,false,,0,foreigntrade
wool_limegreen,0,0,0,0,32,false,,0,foreigntrade

sapling_appletree,8,0,0,0,0,true,,8192,agriculture
seeds,2,1,10,128,2,false,,0,agriculture
wheat,3,2,10,128,4,false,,0,agriculture
carrot,5,4,10,64,16,false,,0,agriculture
bread,10,8,5,10,15,false,,0,agriculture

egg,4,2,16,80,6,false,,0,agriculture
feather,2,1,16,64,4,false,,0,crafting
leather,20,0,16,64,25,false,,0,crafting
beefraw,25,20,4,64,32,false,,0,agriculture
beefcooked,28,20,4,64,48,false,,0,agriculture
porkchops,25,20,4,64,32,false,,0,agriculture
porkchopscooked,28,20,4,64,48,false,,0,agriculture
chickenmeat,20,0,4,64,32,false,,0,agriculture
chickenmeatcooked,28,20,4,64,48,false,,0,agriculture
fishcooked,7,5,0,0,16,false,,0,foreigntrade

bone,10,8,16,64,16,false,,0,crafting
dye_white,3,2,16,64,16,false,,0,crafting
dye_lightblue,10,8,16,64,64,false,,0,crafting
dye_yellow,6,5,16,64,16,false,,0,crafting
dye_red,6,5,16,64,16,false,,0,crafting

carpet_white,10,8,16,64,16,false,,0,construction
carpet_red,20,18,16,64,16,false,,0,construction
carpet_yellow,20,18,16,64,16,false,,0,construction
carpet_blue,20,18,16,64,16,false,,0,construction


tripes,2*64,2*60,2,8,0,false,0,2*64*64,agriculture
boudin,48,40,2,8,80,false,0,0,agriculture
cider,64,60,5,10,80,false,,0,agriculture
ciderapple,10,8,0,512,0,false,,0,agriculture
calva,2*64,2*60,2,5,0,false,0,2*64*64,agriculture

wah,0,2*80,0,0,0,false,,0,foreigntrade
masa,0,48,0,0,0,false,,0,foreigntrade
chickencurry,0,2*80,0,0,0,false,,0,foreigntrade
vegcurry,0,40,0,0,0,false,,0,foreigntrade
udon,0,40,0,0,0,false,,0,foreigntrade
ikayaki,0,2*80,0,0,0,false,,0,foreigntrade
cooked_mutton,0,32,0,0,0,false,,0,foreigntrade
souvlaki,0,2*80,0,0,0,false,,0,foreigntrade

cake,72,64,0,0,128,false,,0,agriculture
cookie,0,4,0,0,8,false,,0,foreigntrade
sugar,4,2,0,0,4,false,,0,agriculture
rasgulla,0,2*80,0,0,0,false,,0,foreigntrade
winefancy,0,2*80,0,0,0,false,,0,foreigntrade
winebasic,0,80,0,0,0,false,,0,foreigntrade
feta,0,96,0,0,0,false,,0,foreigntrade
sake,0,2*80,0,0,0,false,0,0,foreigntrade
cacauhaa,0,2*80,0,0,0,false,0,0,foreigntrade

bow,64,60,0,0,2*25,false,,0,weapons
arrow,0,4,0,0,8,false,,0,weapons
stoneSword,0,2,0,0, 0,false,,0,foreigntrade
leatherHelmet,0,15*5,0,0, 0,false,,0,foreigntrade
leatherChest,0,15*8,0,0, 0,false,,0,foreigntrade
leatherLegs,0,15*7,0,0, 0,false,,0,foreigntrade
leatherBoots,0,15*4,0,0, 0,false,,0,foreigntrade
steelSword,0,20*2,0,0,3*25,false,,0,foreigntrade
steelHelmet,0,20*5,0,0,8*25,false,,0,foreigntrade
steelChest,0,20*8,0,0,10*25,false,,0,foreigntrade
steelLegs,0,20*7,0,0,9*25,false,,0,foreigntrade
steelBoots,0,20*4,0,0,6*25,false,,0,foreigntrade
diamondHelmet,0,3*64*5,0,0, 5*20*64,false,,0,foreigntrade
diamondSword,0,3*64*2,0,0, 2*20*64,false,,0,foreigntrade
diamondChest,0,3*64*8,0,0, 8*20*64,false,,0,foreigntrade
diamondLegs,0,3*64*7,0,0, 7*20*64,false,,0,foreigntrade
diamondBoots,0,3*64*4,0,0, 4*20*64,false,,0,foreigntrade
byzantineMace,0,64*64,0,0, 0,false,,0,foreigntrade
byzantineHelmet,0,12*64,0,0, 0,false,,0,foreigntrade
byzantinePlate,0,20*64,0,0, 0,false,,0,foreigntrade
byzantineLegs,0,8*64,0,0, 0,false,,0,foreigntrade
byzantineBoots,0,6*64,0,0, 0,false,,0,foreigntrade
yumibow,0,7*64,0,0, 0,false,,0,foreigntrade
tachisword,0,2*80,0,0, 0,false,,0,foreigntrade
japaneseguardboots,0,96,0,0, 0,false,,0,foreigntrade
japaneseguardHelmet,0,3*64,0,0, 0,false,,0,foreigntrade
japaneseguardLegs,0,4*64,0,0, 0,false,,0,foreigntrade
japaneseguardPlate,0,6*64,0,0, 0,false,,0,foreigntrade
japaneseblueboots,0,4*64,0,0, 0,false,,0,foreigntrade
japanesebluehelmet,0,6*64,0,0, 0,false,,0,foreigntrade
japanesebluelegs,0,12*64,0,0, 0,false,,0,foreigntrade
japaneseblueplate,0,18*64,0,0, 0,false,,0,foreigntrade
japaneseredboots,0,4*64,0,0, 0,false,,0,foreigntrade
japaneseredhelmet,0,6*64,0,0, 0,false,,0,foreigntrade
japaneseredlegs,0,12*64,0,0, 0,false,,0,foreigntrade
japaneseredplate,0,18*64,0,0, 0,false,,0,foreigntrade
mayanmace,0,7*64,0,0, 0,false,,0,foreigntrade
normanBroadsword,64*64,60*64,1,1,,,,8*64*64,weapons
normanHelmet,10*64,10*60,0,0,,,,8*64*64,weapons
