//*   Les lignes de dialogue commence par un code du style "v2;30;"  qui précise qui parle et à quel moment le dialogue peut être lu. S'il vous plait, recopier exactement ce code dans vos traductions.
//*   La première moitié de la ligne (avant le /) est la langue d'origine des villageois et doit donc rester tel quel, et la seconde moitié doit être traduite.
//* 
//* 



newchat;key:sun,tag:notraining,weigth:18
v1;0;Agapo ilióloustes méres! / J'aime les jours ensoleillés !
v2;30;Poios den échei? / Qui ne les aime pas ?

newchat;key:nicevillage,weigth:10
v1;0;Eínai pánta mia efcharístisi na doúme oraío chorió mas, étsi den eínai? / C'est toujours agréable de voir notre jolie petit village, n'est ce pas ?
v2;30;Fysiká, kai eínai óla lógo ton terástion prospatheión mas! / Bien sûr, nous avons travaillé dur!

newchat;key:sunzombie,tag:notraining,weigth:2
v1;0;Agapo ilióloustes méres! / J'aime les journée ensoleillés!
v2;30;Poios den échei? / Qui ne les aime pas?
v1;60;Den to káno. / Moi.
v2;120;Giatí óchi? / Pourquoi donc ?
v1;150;O ílios kaíei! Misó to exoterikó! / Le soleil brule ma peau, je deteste ètre dehors!
v2;180;Eísai san zómpi! / Tu agis comme un zombie!
v1;210;Ísos eímai ... / Peut ètre que j'en suit un...

newchat;key:nothomeyet,weigth:6
v1;0;Eínai pánta mia efcharístisi na doúme oraío chorió mas, étsi den eínai? / C'est toujours un plaisir de voir notre petit village, n'est ce pas?
v2;30;Fysiká eínai! Échoume xodépsei tóso polý chróno na doulépsoume se aftó to méros. / Bien sur! Nous avons travaillé si dur à le construire.
v1;60;Eínai schedón san sto spíti, akrivós ópos prin írthame edó. / C'est comme à la maison, comme avant de vennir ici.
v2;90;Aftó eínai to spíti mas tóra, aplá prépei na to apodechtoúme. / C'est notre maison maintenant, nous devons l'accepter.
v1;120;Xéro, tha to dechtó me ton kairó ... / Je sait, je l'accepterais au moment vennu...

newchat;key:ishome,weigth:6
v1;0;Eínai pánta mia efcharístisi na doúme oraío chorió mas, étsi den eínai? / C'est toujours un plaisir de voir notre petit village?
v2;30;Fysiká eínai! Échoume xodépsei tóso polý chróno na doulépsoume se aftó to méros. / Bien sur! Nous avons travaillé si dur à le construire.
v1;60;Eínai schedón san sto spíti, akrivós ópos prin írthame edó. / C'est comme à la maison, comme avant de vennir ici.
v2;90;Aftó eínai to spíti mas tóra, aplá prépei na to apodechtoúme. / C'est notre maison maintenant, nous devons l'accepter.
v1;120;Aftó eínai to spíti mas tóra, aftí i syzítisi me ékane na to syneiditopoiíso. / C'est notre maison, cette conversation me l'a fait accepter.

newchat;key:harvest,weigth:10
v1;0;sitári afxánetai polý kalá aftí ti chroniá, étsi eínai ta stafýlia, kathos kai. Lampro, den eínai? / Le blé pousse vraiment bien cette année, tout comme les vignes d'ailleurs. Excellent, non ?
v2;30;Nai, faínetai étsi: Échoume to períergo kairo edo na efcharistíso. / Oui, il semblerait: Nous avons avons un temps étonnant ici qu'il faut remercier.
v1;60;Akoma kai an afto den échei kanéna noima gia ména! / Comme si j'en avais quelque chose à faire !

newchat;key:lightning,weigth:7
v1;0;Thymáste tin kataigída pou eíchame? Thélo na po to pragmatiká varý! / Tu te rappelles du dernier orage que nous avons eu ?
