0;Étranger;Nous ne sommes pas habitués aux étrangers dans notre village reculé.
8*64;Visage Connu;Vous semblez avoir fait bonne impression parmi nous. Continuez et nous allons tous les deux en retirer des bénéfices.
4*64;Personne connue;Jusqu'ici, vous n'avez pas commis d'imper impardonnable.
16*64;Visiteur fréquent;Namaste, $name! Quelles nouvelles amenez-vous?
32*64;Bon Voisin;Bien que vous ne soyez pas parfait, nous reconnaissons que vous êtes un bon voisin, $name-ji. Nous apprécions vôtre compagnie
64*64;Marchand préféré;Bienvenue de nouveau, $name. Qu'avez vous amené à échanger avec nous?
2*64*64;Ami du village;$name-ji, vous êtes un vrai ami pour nous tous ici.
4*64*64;Un Vrai Allié;Vous êtes un vrai allié de ce village $name-ji! Si un jour vous avez besoin d'un refuge, vous pouvez rester dans nôtre village.
8*64*64;Un des nôtres;Je ne pensais pas voir de mes yeux un étranger accepté dans le village, mais $name-ji, vous êtes vraiment l'un des nôtres désormais!
32*64*64;Chef reconnu;$name-ji, mon peuple vous respecte et vous admire. Ils vous suivraient n'importe où.
4*32*64*64;Rajput Très Performant;Les Indiens sont extrêmement contents que vous avez voulu rester avec eux et les aider avec leurs problèmes! Si vous n'avez pas remarqué, nous avons créé 5 autres magnifiques cultures qui vous donneront une meilleure récompense qu'un message terne et décevant.
-64;Nuisance;Nous n'aimons pas les étrangers ici, surtout de votre type.
-4*64;Peste;Ceux qui vous ont élevé l'ont vraiment très mal fait. Nous espérons vous voir partir le plus vite possible.
-16*64;Ennemi public;Tous les matins je prie la déesse de m'épargner votre vue.
