
0;Nieznajomy;Handlujemy z obcymi, co nie znaczy że im ufamy.
4*64;Znajoma twarz;Ostatnio jesteś częstym gościem na naszych ziemiach.
8*64;Znana twarz;Inni Rzymianie zauważyli cię i mówią o tobie dobrze! W końcu nie wydajesz się barbarzyńcą.
16*64;Częsty gość;Xaire, $name! Miło Cię widzieć. Jak się sprawy mają?
32*64;Człowiek cywilizowany;Ach, dobrze jest widzieć, że inni spoza Imperium Rzymskiego mogą czasami być cywilizowani jak my.
64*64;Ulubiony kupiec;Wszyscy cieszymy się, że przybyłeś. Przybyłeś z nami pohandlować?
2*64*64;Przyjaciel wioski;Jesteś częścią naszej wioski $name, ufamy Ci!
4*64*64;Szanowany Sprzymierzeniec;Gratulacje $name! Zasłużyłeś na nasz szacunek. Trudno jest osobom z zewnątrz zostać przyjaciółmi Imperium Rzymskiego, nie mówiąc już o szacunku. Ale TY okazałeś się godny!
8*64*64;Jeden z nas;Jesteś teraz jednym z nas $name. Może nie urodziłeś się tutaj, ale od teraz możesz dumnie nosić miano Rzymianina.
32*64*64;Prawdziwy przywódca;$name, Zyskałeś zaufanie i szacunek Bizantyjczyków. Podążymy za Tobą wszędzie.
4*32*64*64;Następny Cezar;Będziesz następnym Cezarem! Sama ilość pracy, jaką wykonałeś dla tej wioski, jest niewyobrażalna, a my pójdziemy za Tobą, czyniąc ten świat lepszym miejscem. Ave $name!
-64;Utrapieniec;Nie jesteś tu mile widziany, $name. Ostrzegam cię.
-4*64;Niepożądany obcy;Gościmy kupców, ale nie ludzi twojego pokroju. Strzeż się.
-16*64;Wróg publiczny numer jeden;Pozostawienie cię przy życiu byłoby hańbą dla całego Imperium Rzymskiego. Dobrze ci radzę, jeśli chcesz pozostać przy życiu, opuść tę krainę.
-64*64;Pozorny barbarzyńca;Czy nas nie rozumiesz? Dobrze, spróbujemy czegoś innego:HAU HAU HAU, HAU HAU, HAU HAUUUU!
