newchat;key:stone,weigth:10
v1;0;Nojoch tuunich antal ts’íib ku bin táanil ti’ junp’éel k’aaba’ tia’al u ye’esik xiib yéetel chéen juntúul wáa junp’éel ma’alobkin wíiklal ka kuxtal. / Булыжник является наилучшим материалом, который когда-либо существовал. 
v2;30;¡Kux yaan ma'alobtal bi'bi'ki! ¡Ts'íic tuunich! / Он даже лучше, когда обожжен! Ура камню! 
v1;60;¡Haah k'ana'an hóok's! Ich meyah! / Нам нужно добывать! Вперед на работу! 

newchat;key:pyramid,building:mayanpyramid,weigth:7
v1;0;Tin nah k'uh haah ma'alobkin hats'uts yéetel ma'alobkin beet. / Наша пирамида является самой красивой и лучшей.
v2;30;Haah u t'aan. Xíimbal uláak' chan kaah. Utia'al letio'ob antal ki'ichpam, ¡Ba'ale' ma' ki'ichkelem he'ebix in tia'al! / Это правда. Я посетил другие деревни. Они хороши, но не так элегантны, как наша! 
v1;60;In tia'al xook utia'al nahil haah hun yéetel ha'as óol. / Наша архитектура уникальна и неповторима. 
v2;90;Ma' u'uyba nohchil hach. Ma' k'áat kex antal he'ebix Byzantines. / Не хвались слишком много. Я не хочу, чтобы мы были, как Византийцы.
v1;120;Ah, kux. In ch'a' k'uux. ¿¡Bixi' páahtal yaan hach  u'uyba noh ba'al!? / Уххх... Я их ненавижу. Как можно быть такими претенциозными! 

newchat;key:player,weigth:10
v1;0;To'on ma' hach wíiniko'ob ka taal ich xíimbal lelo' kúuch. / Мы не видим много посетителей тут. 
v2;30;Kux, chéen lela' $name yéetel uláak' wíiniko'ob saat... / Да, тут только $name и другие потерянные люди... 
v1;60;T'aan utia'al $name, ¿ma' teech tuukul ka $name il ka'anal yéetel hela'an? / Говоря о $name, не находите, что он был странным и устал? 
v2;90;Kux. Leti' p'aax wa'atal. / Верно. Ему нужно немного отдохнуть. 

newchat;key:miner,weigth:9
v1;0;To'on p'aax antal máas áaktun máako'ob. / Мы должны набрать больше шахтеров. 
v2;30;¡Ah kux! Nohoch tuunich yéetel yaan ma'alokin bi'bi'ki ti' kúuch. / О да! Горные породы и минералы являются лучшими материалами.
v1;60;Kux, haah u t'aan. Kurx yaan k'aana'an máas utia'al to'on, P'aax ya'abtal xook. / Я согласен... но  в деревне недостаточно людей, наши дома должны расти. 
v2;90;Yéetel ma' ts'aa ich meyah ich mix may paal. / И мы не можем отправить детей на работу. Они слишком молоды.

newchat;key:woman,weigth:6,v1:adult,v2:adult,v1:female
v1;0;Haah k'iin utia'al nah. / Самое время убраться в доме. 
v2;30;¡Kurx teech hun k'iin! / Но ты же убиралась вчера! 
v1;60;Ma', yaan mix ba'al ka beet te'ela'. / Несмотря на это, я не имею права делать ничего другого здесь. 
v2;90;¡Teech huntiich' tak ho'ol! / Вы всегда жалуетесь! 
v1;120;Yaáxil tak pool, ¡óot na'at! / Вместо того, чтобы меня обвинять, попытайся понять, почему я жалуюсь! 

newchat;key:friend,v1:vtype:mayan_miner,v2:adult,weigth:10
v1;0;Ah, tin uts amikoo, ¡$targetfirstname! ¿Bixi' antal? / Ах, мой хороший друг $targetfirstname! Как поживаете? 
v2;30;¡Toh oolal, $targetfirstname! Meen ka in páahtal, meyahil bin k'aas. / Привет, $targetfirstname! Делаю что могу, дела идут плохо. 
v1;60;¿Teech p'aat koonol tuunich ich Indians? / Вы перестали продавать индийский камень? 
v2;90;Kux. Behla'e' leo'ob Japanese sahkab máako'ob k'a'ay meyah, leito'ob ma' k'abeet. / Да. Теперь, когда японские шахтеры предложили свои услуги, они больше не нуждаются во мне. 
v1;120;Teech ts'a'ah wa ba'ax hach. / Вы просто должны предложить им что-то еще. 
v2;150;¿Teech yaan hun tuukul? / У Вас есть какие-нибудь идеи? 

newchat;key:monster,weigth:5
v1;0;Yaan hach k'aak'as ba'al táankab. / Развелось много монстров в округе. 
v2;30;In antal máako'ob ba'ate'il páahtal kíimsah. / Я уверен, что охранники могут бороться с ними.
v1;60;In antal sahkil beey hun múuch' lelo'ob paal wáak'al ya'ax taah ich chan kaah. / Что меня беспокоит, так это нападение зеленых взрывных существ.
v2;90;Ma' sahakil. To'on yaan léech tia'al ts'aa yiknal letio'ob. / Не волнуйтесь. У нас есть приманки против них. 
v1;120;Lela' uts, to'on yaan ich $name. Leti' ma' ba'ate'el k'aw. Leti' páahtal áantah to'on. / Ладно, в худшем случае есть $name. Он хорошо сражается и может защитить нас. 
v2;150;Kin ma' péek óol. Leti' ma' k'aw. / Я не сомневаюсь в этом. Он хорош! 

newchat;key:normands,weigth:6
v1;0;¿Teech yaan paakat boon oot'il utia'al Normans? ¡Letio'ob hach saas! / Вы видели цвет кожи Норманов? Они такие бледные! 
v2;30;¡Kux! In mix bik'in yaan paakat saas máako'ob. Hela'n.  / О да! Я никогда не видел такого цвета раньше. Это странно. 
