0;Незнакомец;Мы осторожны с незнакомцами, но веди себя достойно и ты увидишь, как гостеприимны наши люди.
4*64;Узнаваемый;Мы тебя видели несколько раз и до сих пор не пропало ни одной курицы. Продолжай в том же духе, и мы, возможно, поладим.
8*64;Известное лицо;Похоже, вы произвели хорошее впечатление на многих из нас.
16*64;Постоянный посетитель;Добро пожаловать, $name! Приятно снова тебя увидеть.
32*64;Товарищ-путешественник;Ты, кажется, также застряли в этом мире. Что ж, мы можем вместе изучить это новое место и получить прибыль из этого прибыль!
64*64;Популярный торговец;Ах, $name! Все поселение ожидало твоего возвращения.
2*64*64;Друг поселения;Мы, нормандцы, не доверяем людям легко, но мой добрый друг $name, ты действительно показал, что мы можем тебе доверять!
4*64*64;Союзник;В этом странном мире всем нужны союзники. Считайте нас единым целым за всю помощь, которую ты нам оказал.
8*64*64;Один из нас;Всегда приятно видеть тебя, $name. Пусть ты и пришел из дальних земель, но мы считаем тебя своим.
32*64*64;Истинный лидер;$name, ты заслужил доверия и уважения нормандцев. Мы готовы следовать за тобой. 
16*32*64*64;Следующий Kinniken(создатель мода и культуры Норманнов);
-64;Неприятный человек;Мы следим за тобой, $name. Будь настороже.
-4*64;Отвратительный посторонний;Ты показал настоящее нарушение покоя в нашем поселении. Будь счастлив, что с тобой еще разговаривают.
-16*64;Враг;Твое присутствие здесь невыносимо. Один неверный шаг, и ты поймешь, о чем я толкую!
